section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,92759
analyzeCount,1,92760
axleTravelRatio,1,-28.659669822151297
compressionSpeedRatio,1,-36.41047719142379
reboundSpeedRatio,1,-35.65105583788552
section,forkResults
movingCount,1,92758
filterRatio,1,55
timeComp,1,17845
timeReb,1,33810
axleMin,1,22.955000000000002
axleMax,1,147.8675
axleAvg,1,66.27995976872064
axleMovingAvg,1,66.51453047972208
segments,1,2
maxCompressionSpeed,1,3763.15
avgCompressionSpeed,1,912.9585282651066
compressionSpeed95,1,2392.4000000000005
maxReboundSpeed,1,1530.9999999999998
avgReboundSpeed,1,570.6540884718514
reboundSpeed95,1,1044.6499999999994
axleTravelTotal,1,114248.88249999213
totalTravelComp,1,34765.885000000046
totalTravelReb,1,47162.10000000007
histogramLPS,42,20,160.0,0,0,63,3527,4154,8916,13373,16350,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0,0,0,63,3527,4154,8916,13371,16352,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0
gforceTotalComp,1,30197.188331446185
gforceTotalReb,1,47690.271328697636
gforceMin,1,-16.0
gforceMax,1,12.24
gforceAbsTotal,1,135131.36619160196
gforceTotalFlat,1,57243.90653145814
travelToForceRatioComp,1,1.1512954324888651
travelToForceRatioReb,1,0.9889249670009795
travelToForceRatioAll,1,0.8454653106814544
vibrationCompression,1,1.692193237962801
vibrationRebound,1,1.4105374542649405
vibrationOverall,1,1.456784887792173
forceBreakdownTable,9,1.5371234921095889,66.36839677265513,41.23312881601019,74.870462809555,33.284796088930044,49.4076766570077,23.592413698335413,0.34680713841482164,9.3591945269821
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
18268,18280,57.97,85.56,1.73,844.40,873.50,70.94
18421,18439,55.60,74.54,0.53,527.85,549.00,65.25
18492,18506,37.04,64.40,2.05,550.00,586.00,43.83
18610,18631,56.62,84.32,0.89,473.70,493.50,73.90
18945,18958,60.63,73.55,1.12,429.20,452.00,67.21
19017,19038,52.34,75.11,0.63,363.05,371.00,69.34
19117,19127,56.28,69.84,0.73,522.65,554.00,63.57
19136,19147,65.76,77.08,1.13,322.70,339.50,73.31
19177,19189,35.49,56.43,1.91,638.15,681.50,50.34
19205,19224,53.77,81.34,1.27,683.85,732.00,60.99
19236,19263,51.94,84.40,1.78,534.50,569.00,57.24
19395,19409,50.73,82.80,1.03,717.60,742.50,60.09
19492,19504,67.75,78.07,0.95,296.15,308.00,73.85
19548,19592,29.60,84.45,1.17,792.90,832.50,54.45
19679,19701,45.19,62.08,0.39,233.90,239.00,51.92
19759,19771,52.91,72.32,1.36,522.55,559.00,58.81
19787,19797,37.43,60.28,2.62,802.00,842.50,46.76
19805,19820,55.07,76.03,0.67,473.95,485.50,62.91
19857,19867,49.56,83.33,1.72,1270.20,1350.00,64.99
19874,19884,71.85,92.93,2.00,826.60,878.50,81.28
19912,19927,61.73,86.89,1.42,733.45,781.00,72.02
20017,20029,46.84,70.60,2.40,593.25,622.50,53.73
20074,20089,40.84,63.45,1.22,640.25,705.50,46.14
20175,20195,54.20,75.21,0.37,498.50,527.00,65.20
20284,20294,42.24,64.46,1.97,770.40,813.00,52.00
20300,20312,62.72,73.34,0.75,423.55,469.00,67.20
20481,20515,53.95,68.78,0.46,202.15,205.00,62.26
20611,20626,43.82,83.00,1.21,1082.55,1128.00,68.31
20675,20689,38.91,81.89,4.02,1394.60,1518.50,55.03
20749,20776,60.64,84.13,1.30,400.95,420.00,78.86
20951,20964,73.84,115.75,3.58,1342.55,1413.50,88.77
21015,21029,70.62,125.92,4.43,1565.20,1613.50,96.54
21049,21071,59.74,93.40,1.44,597.15,627.00,84.72
21101,21120,30.69,73.99,1.25,928.30,1006.00,41.77
21219,21243,47.87,70.48,0.69,338.05,341.50,58.95
21275,21308,49.98,76.74,0.90,473.70,493.50,66.98
21345,21361,56.59,77.77,0.67,482.55,490.50,66.67
21448,21480,56.50,90.23,0.48,405.30,412.50,78.17
21597,21624,28.47,60.19,1.35,529.35,541.50,48.84
21652,21662,43.73,64.74,1.09,744.80,783.50,52.91
21995,22024,55.26,91.01,0.98,469.30,481.00,63.98
22117,22140,36.50,49.53,0.50,195.90,202.50,43.31
22422,22439,39.44,80.85,1.42,1010.25,1035.00,61.39
22476,22488,67.33,77.73,1.01,344.35,361.00,71.88
22566,22578,39.45,73.38,3.09,1082.40,1137.00,51.41
22699,22712,44.59,58.26,1.06,382.20,397.50,51.84
22803,22825,39.65,110.61,2.85,1929.00,2085.00,56.83
22907,22917,30.35,81.85,3.58,1903.75,2053.00,49.23
22939,22953,67.91,97.69,0.88,689.40,703.50,78.67
23007,23035,42.85,63.65,0.47,333.40,344.50,56.59
23154,23166,41.17,57.08,1.88,385.05,424.50,45.35
